,ì¡°í_,__,ì¢____,«ì___,êµ¬ë___,_,_ª©,__ê¸¸ì_
0,2274589,2020. 10. 31.,27000,2100,7730000,9689,-,112
1,2065762,2020. 10. 31.,23000,458,7730000,4525,-,81
2,1093602,2020. 11. 1.,17000,248,848000,3323,-,964
3,2741347,2020. 10. 30.,57000,777,1020000,5354,-,1142
4,1316428,2020. 10. 31.,9100,1600,586000,4595,-,1166
5,607062,2020. 11. 1.,11000,192,1110000,1427,-,673
6,1069185,2020. 11. 1.,24000,551,54000,3562,-,787
7,952983,2020. 11. 1.,15000,354,1250000,2065,-,1128
8,1143721,2020. 10. 31.,22000,281,44700,1126,-,572
9,351510,2020. 11. 1.,6300,144,3060000,642,-,516
10,239225,2020. 11. 1.,6900,255,465000,860,-,634
11,880658,2020. 10. 31.,26000,237,1350000,5616,-,482
12,648546,2020. 10. 31.,11000,475,844000,1254,-,909
13,624878,2020. 11. 1.,13000,351,1100000,2673,-,491
14,757232,2020. 10. 31.,24000,364,228000,1660,-,833
15,1201161,2020. 10. 30.,13000,499,116000,3988,-,1552
16,312503,2020. 11. 1.,11000,104,1300000,593,-,462
17,867153,2020. 10. 31.,10000,573,1430000,4416,-,131
18,472451,2020. 11. 1.,9300,192,279000,631,-,489
19,744306,2020. 11. 1.,3700,207,1080000,935,-,986
20,1126629,2020. 10. 31.,6900,392,235000,2197,-,275
21,914134,2020. 11. 2.,120000,6300,216000,10491,-,46
22,565462,2020. 10. 31.,8300,378,1180000,1145,-,717
23,2881826,2020. 10. 29.,100000,1100,822000,7108,-,876
24,498880,2020. 10. 31.,11000,236,89700,2541,-,484
25,527079,2020. 10. 31.,10000,519,911000,1983,-,497
26,616531,2020. 10. 30.,11000,304,622000,1060,-,829
27,138121,2020. 10. 31.,598,69,195,50,-,1039
28,3627930,2020. 11. 1.,410000,3700,8920000,15946,-,213
29,64220,2020. 11. 1.,994,43,142000,68,-,5
30,3468663,2020. 10. 28.,94000,2000,54100,13863,-,485
31,622841,2020. 10. 31.,41000,107,926000,5546,-,284
32,21623975,2020. 10. 28.,1100000,61000,13100000,116000,-,231
33,362438,2020. 10. 31.,8300,415,1210000,477,-,903
34,219477,2020. 11. 1.,4200,154,243000,564,-,245
35,77967,2020. 11. 1.,1600,36,171000,120,-,3189
36,1158452,2020. 11. 1.,150000,419,4500000,9865,-,305
37,1378454,2020. 10. 29.,29000,662,2650000,4392,-,341
38,2139755,2020. 10. 29.,110000,2500,15700000,4290,-,238
39,974427,2020. 10. 30.,43000,715,5310000,1665,-,221
40,513084,2020. 11. 1.,80000,725,0,19921,-,1326
41,81814,2020. 11. 1.,1000,53,183000,300,-,676
42,186787,2020. 10. 30.,4200,127,49500,182,-,1438
43,4834176,2020. 11. 2.,110000,2600,5600000,6344,-,254
44,238933,2020. 11. 1.,4800,109,2540000,537,-,1122
45,1288444,2020. 11. 1.,33000,604,1200000,8338,-,399
46,790020,2020. 10. 30.,13000,182,2250000,1082,-,1356
47,473335,2020. 11. 1.,140000,160,5250000,6562,-,222
48,405054,2020. 10. 31.,5400,187,228000,1253,-,1019
49,2015590,2020. 10. 28.,47000,1000,2280000,5624,-,414
0,2209140,2020. 11. 2.,19000,553,281000,12855,-,65
1,1971496,2020. 11. 2.,16000,537,2060000,6776,-,87
2,977783,2020. 11. 2.,7600,264,193000,1634,-,176
3,536577,2020. 11. 2.,6700,294,660000,1190,-,438
4,889145,2020. 11. 2.,6700,303,568000,2013,-,82
5,1188992,2020. 11. 2.,7700,375,568000,1668,-,83
6,237233,2020. 11. 3.,2000,57,193000,404,-,79
7,663663,2020. 11. 3.,5600,142,281000,1924,-,85
8,2492670,2020. 10. 31.,28000,2300,7730000,10073,-,112
9,465836,2020. 11. 2.,11000,173,845000,1348,-,585
10,292877,2020. 11. 2.,4400,65,324000,496,-,742
11,2259989,2020. 10. 31.,25000,504,7730000,4848,-,81
12,542998,2020. 11. 2.,10000,120,916000,1467,-,831
13,1299168,2020. 11. 1.,18000,315,849000,3685,-,964
14,1698306,2020. 11. 1.,34000,927,65600,4483,-,787
15,2895487,2020. 10. 30.,59000,823,1030000,5498,-,1142
16,1539570,2020. 10. 31.,10000,2000,586000,5135,-,1166
17,790595,2020. 11. 1.,13000,273,1110000,1638,-,673
18,343399,2020. 11. 2.,3600,113,654000,421,-,952
19,1189633,2020. 11. 1.,17000,432,1250000,2290,-,516
20,482081,2020. 11. 1.,7500,188,3060000,822,-,1128
21,1302726,2020. 10. 31.,25000,327,47900,1195,-,572
22,344355,2020. 11. 1.,7800,464,466000,974,-,634
23,22065,2020. 11. 3.,102,12,141000,49,-,51
24,1023734,2020. 10. 31.,28000,273,1350000,5955,-,482
25,6310404,2020. 11. 2.,450000,3200,4490000,65731,-,182
26,895086,2020. 10. 31.,28000,402,229000,1838,-,946
27,288901,2020. 11. 2.,4500,83,324000,397,-,833
28,1182427,2020. 11. 2.,140000,7600,231000,12166,-,46
29,891377,2020. 11. 1.,4300,247,1080000,1058,-,986
30,370268,2020. 11. 1.,12000,160,1300000,635,-,462
31,1282460,2020. 10. 30.,13000,541,117000,4136,-,1552
32,950427,2020. 10. 31.,11000,621,1430000,4805,-,221
33,782403,2020. 11. 2.,96000,525,721000,8079,-,131
34,696407,2020. 10. 31.,12000,518,845000,1279,-,491
35,550204,2020. 11. 1.,10000,268,279000,718,-,489
36,1216209,2020. 10. 31.,7300,417,236000,2290,-,275
37,268913,2020. 11. 2.,8500,59,646000,498,-,269
38,51000,2020. 11. 2.,0,0,11299,1454,-,202
39,685059,2020. 11. 1.,13000,380,1100000,2777,-,909
40,87241,2020. 11. 1.,1300,54,143000,83,-,1039
41,601051,2020. 10. 31.,8600,410,1180000,1177,-,717
42,118461,2020. 11. 2.,1800,25,191000,259,-,491
43,528302,2020. 10. 31.,12000,241,91500,2632,-,484
44,666030,2020. 10. 31.,42000,110,929000,5679,-,284
45,570884,2020. 10. 31.,10000,583,911000,2039,-,497
46,305486,2020. 11. 1.,5200,204,245000,664,-,245
47,4099275,2020. 10. 28.,100000,2400,65600,15296,-,485
48,61056,2020. 11. 2.,3000,37,180000,818,-,154
49,145622,2020. 10. 31.,658,62,244,58,-,5
0,1467137,2020. 11. 4.,79000,1400,1020000,13792,-,218
1,1363580,2020. 11. 4.,42000,336,1060000,6453,-,1042
2,1085064,2020. 11. 4.,34000,662,2280000,3339,-,302
3,872083,2020. 11. 5.,12000,211,4520000,1095,-,792
4,2615154,2020. 11. 2.,21000,730,282000,14001,-,1038
5,1506744,2020. 11. 3.,9800,602,1080000,2889,-,65
6,2499120,2020. 11. 2.,19000,660,2060000,7899,-,673
7,535941,2020. 11. 4.,11000,270,598000,2123,-,656
8,590549,2020. 11. 3.,4100,272,1080000,1082,-,87
9,1444925,2020. 11. 2.,9700,429,194000,2108,-,176
10,1221149,2020. 11. 4.,36000,609,1210000,6138,-,425
11,278636,2020. 11. 4.,6300,164,121000,761,-,954
12,2681264,2020. 11. 3.,210000,2300,15800000,8957,-,351
13,703085,2020. 11. 3.,3800,171,194000,773,-,79
14,1031691,2020. 11. 3.,13000,392,1260000,1349,-,752
15,387451,2020. 11. 4.,19000,643,188000,6424,-,909
16,655174,2020. 11. 4.,9800,290,1060000,1140,-,774
17,11465685,2020. 11. 3.,1270000,15000,4840000,104814,-,543
18,583315,2020. 11. 3.,7200,119,329000,539,-,184
19,613013,2020. 11. 4.,13000,414,412000,1067,-,177
20,643295,2020. 11. 3.,13000,152,93500,2097,-,255
21,110962,2020. 11. 5.,7400,53,61800,1861,-,287
22,1626895,2020. 11. 2.,9700,534,571000,1852,-,1133
23,751843,2020. 11. 2.,7900,404,661000,1486,-,83
24,342112,2020. 11. 3.,13000,186,740000,665,-,438
25,285142,2020. 11. 4.,4700,137,602000,988,-,424
26,153994,2020. 11. 5.,761,46,1320000,118,-,946
27,1269695,2020. 11. 3.,8000,241,282000,2738,-,85
28,180935,2020. 11. 4.,17000,93,35800,1237,-,225
29,273713,2020. 11. 4.,777,42,1320000,120,-,611
30,434953,2020. 11. 3.,13000,117,220000,1688,-,274
31,918653,2020. 11. 2.,6800,321,571000,2036,-,82
32,251426,2020. 11. 4.,5300,119,21600,738,-,233
33,533693,2020. 11. 4.,3600,103,1160000,1713,-,861
34,357217,2020. 11. 4.,7800,383,912000,1836,-,732
35,447107,2020. 11. 3.,10000,264,324000,1932,-,1054
36,137793,2020. 11. 4.,3400,71,248000,386,-,249
37,123522,2020. 11. 4.,4100,68,224000,861,-,939
38,102994,2020. 11. 4.,2200,71,120000,375,-,413
39,237899,2020. 11. 4.,5800,80,75700,647,-,1279
40,865771,2020. 11. 2.,13000,205,923000,1777,-,831
41,2715527,2020. 11. 1.,56000,1600,92100,6327,-,787
42,382383,2020. 11. 4.,4400,123,232000,605,-,652
43,2032145,2020. 11. 1.,22000,475,852000,4566,-,964
44,213315,2020. 11. 3.,2800,109,235000,102,-,606
45,1899609,2020. 10. 31.,12000,2500,587000,5808,-,1166
46,654206,2020. 11. 2.,12000,299,848000,1520,-,585
47,158441,2020. 11. 3.,7600,53,520000,1096,-,851
48,1033496,2020. 11. 1.,17000,367,1110000,1889,-,673
49,294956,2020. 11. 2.,0,0,11700,4102,-,269
0,2062476,2020. 11. 4.,85000,1800,1020000,15606,__ [HERO] MV,218
1,1167868,2020. 11. 5.,56000,5200,6420000,15582,[MPDì§__] ¸ì´ì_ 1 µì_ ì§__ 4K 'I CAN'T STOP ME' (TWICE FanCam No.1 Encore) | @MCOUNTDOWN_2020.11.5,305
2,888981,2020. 11. 2.,40000,575,1360000,6310,"[4K] ¡ë(MINO) ¬ë_ë²__ë¥ ¼ì_ë¸__! | Hooligan, __, Born Hater, Machine Gun, ¸ë_, °ê_, ë¶_²¼, Ok man, __ê° ",954
3,976984,2020.11.5,10000,171,138000,987,_´ì_ ¨ë_ë¸__ êµ³¼ _¸°__ê³¼ì_ __,559
4,1640945,2020.11.4,45000,407,1060000,6900,¹ì_ __ ë§__ ì»¸ë_ __ì»¤ë_ _¦¬ __,1042
5,1250294,2020.11.4,37000,755,2280000,3500,__ê´ ê· ¨ì_ _²´ëª¨ë __,302
6,433975,2020. 11. 5.,14000,78,329000,1546,¹ì___ ë§__ ì»¸ë_ __ì»¤ë_ ë°¥ë_ ê°__ ë¨¹ê_,725
7,353901,2020. 11. 5.,3800,331,140000,848,[ê¹ê°_x©ì_] __ ë³´ë_ë¹__¤ì_ ±ì___,807
8,643119,2020. 11. 5.,9100,137,4520000,687,10#__¼ì_#´ë_ ´ë¦¬¤ê_ ì§¥ë¬¸ __ë¡ ì°¾ì_ê° ê¹ë² o0o °ë¦¬_ ´ê ì§ì¼!#êµ¬ë¸ë_ | TALE OF THE NINE TAILED EP.10,715
9,1807016,2020. 11. 3.,11000,770,1080000,3513,__ë§__ ìµ__¸ì_ ì¶©ê²© ê·¼í_...¼ì_ì§__ë¡ _____ ´ì_?[__ë¥´í_¹ì_¸ì_ 449],1068
10,1010925,2020. 11. 5.,22000,435,2650000,3069,[2¸í_] __,287
11,676616,2020. 11. 4.,13000,373,601000,2366,__ ¨ë¨¹ ê³±ì°½ ë¨¹ë_ ë°©ë_,673
12,1084135,2020. 11. 5.,13000,252,4520000,1237,"9#__¼ì_#´ë___ __ ë°_ì§ ´ë__ê¹ë² ¬ì___ ¤í_ __ ', ê·¸ë_.. ê·¸ë_?'#êµ¬ë¸ë_ | TALE OF THE NINE TAILED EP.9",792
13,702857,2020. 11. 3.,4900,336,1080000,1286,"ë°°ì_ ìµ__, ìµ_·¼ ê·¼í_ ë°©ì_¼ë_ ê³µê_ ì§__ ´ì_ 2ê°ì§?[__ë¥´í_¹ì_¸ì_ 449]",656
14,401194,2020. 11. 4.,8000,271,125000,982,"""_¨¸  ¼ë©´20ê° ë¨¹ì___"" 47  ¼ë©´ê°ê² ¸ë_ê°  ¼ë_´ì_______ ë¨¹ë°© EATING SHOW RAMYUN MUKBANG",954
15,2650677,2020. 11. 2.,21000,737,282000,14051,ê°_·¸ë§ ë°_ __ ëª¨ì_ê³ ¨ê_ ¨ì_ ì± ë°_²¬ / °í_´ì_ (Yonhapnews),65
16,204708,2020. 11. 5.,8900,129,67900,2198,ë°_ ë¸__ë¡_·¸,177
17,195004,2020. 11. 6.,2400,106,55599,1477,´ì_ê· ë°©ì_ ´ì_...¨ì_¤ê_ ____ë¥ ë¬¼ì_µë_,779
18,227285,2020. 11. 6.,942,40,1320000,147,[__] _¸°ì¤ __´ë¦¼ ëª¨ì_ __ì§..? ëª¨ë_ ê² ê°ì§__ ´ì__ #____ #SBScatch,1629
19,225979,2020. 11. 5.,2700,154,303000,551,(ë§__ì¶__)©ì__ê¹ê°_ _¼¬ì¹ ë¨¹ë°©,906
20,140972,2020. 11. 5.,4800,79,92800,283,ë¯¸ì_°í_ë¡_ ´ë¦°__ ____ __ ____ë¡ _²© TVì¶__ __¬ë_¤í_ ´ì_ê´!! KBS ì½__ 7080__ 8__ ì¶____ ´ì_ __ë³´ë_...!!,435
21,2538177,2020. 11. 2.,19000,674,2070000,7938,"ê°_·¸°ë¨¼ ë°_, ëª¨ì_ê³ ¨ì_ ì± ë°_²¬...__ ì¶__ ë©_ª¨ ë°_²¬ / YTN",87
22,1523113,2020. 11. 2.,9900,451,194000,2165,"'ì¶©ê²©' __ì§, ¨ì_ ì± ë°_²¬ '__ ë©_ª¨.. ê·¸ë ë°__ ¬ì¡°ëª'",176
23,617169,2020. 11. 5.,7800,154,2030000,1090,ê°__êµ,1497
24,3055043,2020. 11. 3.,230000,2500,15800000,9410,'ìµ__ ê³µê_'  AYA - ë§__ë¬(MAMAMOO) | MAMAMOO COMEBACK SHOW ï¼_ONOLOGUEï¼,351
25,88401,2020. 11. 6.,1300,29,31400,44,ë£¨ë_ê³__ì¸__ __ë¯ ¬ì_ 17ì´ ë§__ _ ê¸°ë_ ë¡_ __ ë°__! 22_°¨ __ ì°__ ê³ ë¨¹í_ê³  ê° __ë¡ ¸ì_´ë¦¼______,145
26,1453833,2020. 11. 4.,39000,714,1210000,6523,[ì§¤í_ ¤ë¦¬ì§] _©´ (feat. ì¡´ë_),425
27,78693,2020. 11. 5.,7400,195,72100,244,#__ #_³¡ #HERO #__ë¡ ì¡°ì_ê°__ _²©ë¶__´ë³´__. ì¡°ì_ê°__ ë³ _³¡ HERO ´ë___?[ì¡°ì_ê° ´ì_ë°©ì_- __ ],894
28,778545,2020. 11. 4.,10000,407,1060000,1217,ë¦´ì¹´ ¤ì_´í_ ë¯¸ì_ ê²°ê³¼ ë°__(feat. ë¹__ ë²__),774
29,130414,2020. 11. 5.,2900,71,212000,193,ë¬´ì_ì±. ____ ë¬´ì_ ë°__ __ë³´ì_,611
30,1151992,2020. 11. 3.,14000,442,1260000,1381,"ê³_¸° ë¯¸ì_ __ë²_¦° __ ""°ì_""ë¡ ëª¨ì_µë_.",752
31,13449801,2020. 11. 3.,1330000,17000,4850000,110975,[MV] ë§__ë¬ (MAMAMOO) - AYA,184
32,460651,2020. 11. 4.,21000,771,189000,6969,[¨ë_] UFC ¤ë¥´_ ¨ë°° ´í_ _°¬ ê·¼í_. ì§_¬¸ë¶ __ê¹_ ëª¨ë_ µë´ë_ë¦¬ê_µë_ [Korean Zombie Chan Sung Jung],909
33,94360,2020. 11. 5.,2600,44,132000,69,"ê³_ ëª¨ë_ê²! ´ê_ë§__ì§__ ê³_¥´__,ë³´êë²,ë¨¹ë_ë²,¨ë_",326
34,693491,2020. 11. 3.,8300,138,332000,647,[#¤ì] êµ¬ë¸ë_ ê· ê¼¬ë§¹´ì_ __ ë°_ì§¤ð_ ê¹__ __´ì ê¹ë²__ ½í_ _¬¼__ ¬ì___ | #êµ¬ë¸ë_ #_,543
35,713385,2020. 11. 4.,14000,581,413000,1122,20´ì_ ì² ëª__  ì¡°ë_,255
36,764171,2020. 11. 3.,4000,190,194000,795,"__ì§, ¬í_ ë¹__ __, '¤ë_ __¸ë_..' ¥ë__ _¬¼ ë°__ 'ë¶ê² _¸°ë¡'",79
37,87950,2020. 11. 5.,11000,153,28800,623,__ _³¡(__ë¡ HERO)ë¦¬ë·° __ _ì§ ¸ê___ __ë¡ ê¸°ì_ê² °ì£¼¤í __ ë¦¬ë·°~ ¨ê_ ì£¼ì_ ~ ____~!!!!!,589
38,272865,2020. 11. 5.,1000,77,1320000,207,[__] ëª¨ë_ ê² __ ¨í_ _¸°ì¤ ê¸ ¤í_ ·ã_ ´ì ¬ê¸°ê²°í_ ¤í_..? #____ #SBScatch,1133
39,858790,2020. 11. 3.,17000,209,94400,2492,__ê² ì£¼ë_ ê² __ ì¢_ ¬ë_ #ë©__´í_ê·¹ì_ë°___¬ë_,287
40,137632,2020. 11. 5.,5500,26,509000,658,"""__ ë¬´ì_"" ë©__ __!",753
41,174232,2020. 11. 5.,9700,124,5960000,311,[¼ì_ì§__ 4K] ¸ì´ì_ - __ ìº__ ¤í_ ë¯ (TWICE - I CAN'T STOP ME) l #¼ì_¼ì_ l EP.377,211
42,423703,2020. 11. 3.,15000,224,746000,794,__[ë¯¸êµ­__ì§] ê³µí_¹ê³¼ ë¯¼ì£¼¹ì_ _,946
43,240691,2020. 11. 5.,3200,51,741000,399,"[__] __ ë¨¹ì_ ë¹__, _µ­ __ ìµ__ ê³µê_!",73
44,124532,2020. 11. 5.,5700,74,901000,795,´ëë¡ ì»¨í_ì¸ ì¤__..? | ____´ì_ Ep.4,1083
45,346673,2020. 11. 4.,9800,590,961000,778,"'__ë¯¼ì_ê² ¨ì_'? ë¬´ë¦¬ ½ì»¤ë£ ¹ì·¨ë¡, _¦¬ì§ë¥ ´ì_",331
46,97800,2020. 11. 5.,3800,34,107000,2250,ë¬´ë_±ì_ ê¸°ì__©´ ë²__ì§ë© ¬ë_ ,601
47,56378,2020. 11. 5.,5800,26,152000,1374,[ì§_³¼ê¿] ì¹´ì_¸ë_,247
48,146237,2020. 11. 4.,4500,84,224000,911,__¨ë§¤ __ __µê!? ì§__ __ __?? (__¼ì_),939
49,37664,2020. 11. 5.,4200,31,14400,189,"[ENG SUB] ___ ë°__ __ ""HERO""ê° ë°__ ´ì_!! Lim Young Woong ""HERO"" Review",286
0,2318008,2020. 11. 6.,34000,744,3780000,2533,ë¡_¼¬ ____ë§__ °í_ _¸°?! _ë¶ ê¸_´´ê¹_  __ ë°__ ëª¨ë_ê± ____ __ ê´¸ì²­ ì§__ ë¦¬ë·° | __ë§ ep.75,823
1,2023132,2020. 11. 6.,61000,466,1050000,11991,____ ë§__ ¤ê_´ì_µë_ [¤ê_] Ep.11,889
2,969405,2020. 11. 6.,14000,253,1170000,950,"ê°__±ì_ __ ì²__ê², __ ê²¬ì_ 3ê°__ __ ___  ¸ì_ °ê·¸ | ê°__±ì_ ë©__ì¿",971
3,585586,2020. 11. 7.,10000,143,2270000,840,_ep.3-2 ì´__ __ ë§_¡±__ ìµ__ _£¼?! #¸ì_ê¹_´ê¹¨ì¶¤ì_ì¶___±°,863
4,2066371,2020. 11. 5.,70000,8500,6430000,22076,[MPDì§__] ¸ì´ì_ 1 µì_ ì§__ 4K 'I CAN'T STOP ME' (TWICE FanCam No.1 Encore) | @MCOUNTDOWN_2020.11.5,305
5,2585917,2020. 11. 4.,89000,2100,1020000,16856,__ [HERO] MV,218
6,1381401,2020. 11. 6.,53000,802,1360000,8147,"[4K] ¡ë(MINO) ¬ë_ë²__ë¥ ¼ì_ë¸__! | Hooligan, __, Born Hater, Machine Gun, ¸ë_, °ê_, ë¶_²¼, Ok man, __ê° ",954
